#freq[Hz]   abs[m/N]   phase[degree]
0.1058034916   0.00412455201326   -172.723213042
0.105925372518   0.00410745385301   -172.735578966
0.106047393837   0.00409046470006   -172.747870718
0.10616955572   0.00407358437249   -172.760090085
0.106291858328   0.00405681271302   -172.772238896
0.106414301822   0.00404014958973   -172.784319025
0.106536886367   0.00402359489684   -172.796332392
0.106659612123   0.00400714855553   -172.808280968
0.106782479254   0.00399081051482   -172.820166776
0.106905487922   0.00397458075247   -172.831991895
0.107028638291   0.00395845927596   -172.84375846
0.107151930524   0.00394244612355   -172.855468672
0.107275364784   0.00392654136536   -172.867124793
0.107398941234   0.00391074510456   -172.878729154
0.107522660039   0.00389505747861   -172.89028416
0.107646521363   0.00387947866057   -172.90179229
0.107770525369   0.00386400886053   -172.913256104
0.107894672223   0.00384864832707   -172.924678248
0.108018962088   0.00383339734888   -172.936061454
0.10814339513   0.00381825625646   -172.947408552
0.108267971513   0.00380322542388   -172.958722469
0.108392691402   0.00378830527073   -172.970006237
0.108517554963   0.00377349626417   -172.981263
0.108642562362   0.00375879892105   -172.992496018
0.108767713763   0.00374421381032   -173.003708676
0.108893009333   0.00372974155544   -173.014904488
0.109018449239   0.00371538283704   -173.026087108
0.109144033645   0.00370113839576   -173.037260334
0.109269762719   0.00368700903525   -173.048428122
0.109395636627   0.00367299562542   -173.059594587
0.109521655537   0.00365909910586   -173.070764022
0.109647819614   0.00364532048958   -173.081940902
0.109774129027   0.00363166086693   -173.093129895
0.109900583943   0.00361812140988   -173.104335878
0.11002718453   0.00360470337655   -173.115563945
0.110153930954   0.00359140811614   -173.126819423
0.110280823385   0.00357823707415   -173.138107887
0.11040786199   0.00356519179804   -173.149435173
0.110535046938   0.00355227394335   -173.160807396
0.110662378398   0.00353948528022   -173.172230969
0.110789856537   0.00352682770044   -173.183712619
0.110917481526   0.00351430322514   -173.19525941
0.111045253533   0.00350191401296   -173.206878766
0.111173172728   0.00348966236898   -173.218578491
0.11130123928   0.00347755075436   -173.230366801
0.111429453359   0.00346558179674   -173.242252345
0.111557815135   0.00345375830161   -173.25424424
0.111686324778   0.00344208326453   -173.266352101
0.111814982458   0.00343055988452   -173.278586077
0.111943788347   0.00341919157853   -173.290956893
0.112072742614   0.00340798199732   -173.303475882
0.11220184543   0.00339693504262   -173.316155043
0.112331096967   0.00338605488602   -173.329007079
0.112460497397   0.00337534598949   -173.342045456
0.112590046889   0.00336481312797   -173.355284462
0.112719745618   0.00335446141398   -173.368739268
0.112849593753   0.0033442963248   -173.382426002
0.112979591467   0.00333432373221   -173.396361818
0.113109738933   0.0033245499353   -173.41056499
0.113240036324   0.00331498169663   -173.425054995
0.113370483811   0.00330562628218   -173.439852623
0.113501081567   0.00329649150552   -173.454980079
0.113631829767   0.00328758577673   -173.470461115
0.113762728582   0.00327891815683   -173.486321163
0.113893778188   0.00327049841812   -173.502587486
0.114024978756   0.00326233711158   -173.519289345
0.114156330462   0.00325444564204   -173.536458186
0.114287833479   0.00324683635227   -173.554127848
0.114419487982   0.00323952261732   -173.572334796
0.114551294145   0.00323251895044   -173.591118374
0.114683252142   0.00322584112243   -173.610521103
0.11481536215   0.00321950629633   -173.630589
0.114947624342   0.00321353317992   -173.651371952
0.115080038894   0.00320794219867   -173.672924122
0.115212605983   0.00320275569262   -173.695304424
0.115345325782   0.00319799814092   -173.718577053
0.115478198469   0.00319369641888   -173.742812088
0.115611224219   0.00318988009297   -173.768086185
0.115744403209   0.00318658176066   -173.794483364
0.115877735616   0.00318383744308   -173.822095921
0.116011221615   0.00318168704041   -173.851025466
0.116144861384   0.00318017486205   -173.881384138
0.1162786551   0.00317935024618   -173.913296004
0.116412602941   0.003179268287   -173.946898697
