#Filename : asd_diff_gif.dat
#Date : 2018/07/20
#Author : K.Miyo
#
#Discription
#-----------
#Xend   	: displacement of the seismometer on the Xend 
#       	  2nd floar(EXV) with Xarm direction
#Center 	: displacement of the seismometer on the Center 
#       	  2nd floar(IXV) with Xarm direction
#GIF    	: strain of the Xarm 1500 m distance measured by 
#       	  GIF strainmeter
#diff_seis 	:= (Xend-Center)/sqrt(2)
#comm_seis 	:= (Xend+Center)/sqrt(2)
#diff_gif  	:= GIF*3000/sqrt(2)
#
#Data Information
#----------------
#Data Name         	: asd_diff_gif.dat
#Start [GPS Time]  	: 1214784018
#Time Lenght [sec] 	: 8192
#BW [Hz]           	: 7.8125e-03
#Window            	: Hanning
#Average           	: 64
#Overlap           	: 50% 
#Dof               	: 128
#
#
#Frequency[Hz],ASD [um/sqrtHz]
2.6562500e+00,1.4498454e-02
2.6640625e+00,1.5143058e-02
2.6718750e+00,1.4853298e-02
2.6796875e+00,1.5874022e-02
2.6875000e+00,1.7681695e-02
2.6953125e+00,1.8642693e-02
2.7031250e+00,1.9130675e-02
2.7109375e+00,2.0554224e-02
2.7187500e+00,1.9217199e-02
2.7265625e+00,1.7583002e-02
2.7343750e+00,1.8786404e-02
2.7421875e+00,1.9797748e-02
2.7500000e+00,1.9340221e-02
2.7578125e+00,1.9545268e-02
2.7656250e+00,1.9771079e-02
2.7734375e+00,1.8872907e-02
2.7812500e+00,1.8117862e-02
2.7890625e+00,1.8806625e-02
2.7968750e+00,1.8747095e-02
2.8046875e+00,1.8314645e-02
2.8125000e+00,1.8403107e-02
2.8203125e+00,1.9412974e-02
2.8281250e+00,1.9709105e-02
2.8359375e+00,1.9425188e-02
2.8437500e+00,1.7106052e-02
2.8515625e+00,1.5142724e-02
2.8593750e+00,1.5742121e-02
2.8671875e+00,1.6501223e-02
2.8750000e+00,1.7224981e-02
2.8828125e+00,1.8172780e-02
2.8906250e+00,1.7802239e-02
2.8984375e+00,1.7033792e-02
2.9062500e+00,1.5784478e-02
2.9140625e+00,1.6233176e-02
2.9218750e+00,1.8227222e-02
2.9296875e+00,1.8082787e-02
2.9375000e+00,1.9311067e-02
2.9453125e+00,2.1237030e-02
2.9531250e+00,2.1640730e-02
2.9609375e+00,2.1552534e-02
2.9687500e+00,2.0978859e-02
2.9765625e+00,2.0964304e-02
2.9843750e+00,2.1840190e-02
2.9921875e+00,2.2172020e-02
3.0000000e+00,2.1401539e-02
3.0078125e+00,2.2251240e-02
3.0156250e+00,2.4586730e-02
3.0234375e+00,2.4423381e-02
3.0312500e+00,2.3051503e-02
3.0390625e+00,2.2620155e-02
3.0468750e+00,2.2434455e-02
3.0546875e+00,2.1815948e-02
3.0625000e+00,2.0425156e-02
3.0703125e+00,1.9209090e-02
3.0781250e+00,1.9669747e-02
3.0859375e+00,1.8956314e-02
