EventId,EventTime[UTC],EventGPS,PwaveFirstArrivalGPS,EventMagnitude,EventDistance[km],EventDepth[km],EventAzimuthA2B[degree],EventIncidentAngle[degree]
10965132,2018-10-29T06:54:21.440000Z,1224831279.44,,6.3,17091.417570805686,10.0,150.74208698976074,
10965094,2018-10-29T03:18:37.080000Z,1224818335.08,,5.0,17230.86578711324,10.0,202.04280562075658,
10965072,2018-10-29T01:27:44.250000Z,1224811682.25,1224812005.2010148,5.5,600.9308065991997,94.0,152.47925190050998,28.089462339680086
10965035,2018-10-28T22:23:54.080000Z,1224800652.08,1224801107.3102114,6.1,12608.803192503668,24.69,51.53698359243388,25.575399800515232
10965015,2018-10-28T20:41:48.350000Z,1224794526.35,1224794874.2554579,5.0,7222.833428278018,74.59,146.48228461835103,27.586073828920455
10964863,2018-10-28T08:09:59.580000Z,1224749417.58,1224749635.9942033,5.2,3745.425887161036,45.79,199.6191808703405,41.84752122509515
10964805,2018-10-28T00:38:11.760000Z,1224722309.76,1224722831.6294365,5.5,8589.446057465033,151.0,317.9337765224841,23.067068443772534
10964806,2018-10-28T00:37:31.900000Z,1224722269.9,1224722493.6081972,5.3,4882.884157856387,45.54,159.9056870077436,41.368005667960205
10964721,2018-10-27T16:57:35.640000Z,1224694673.64,1224695444.050698,5.5,5538.443900566098,30.9,31.49093310822046,14.214994504072495
10964717,2018-10-27T16:57:27.837000Z,1224694665.837,1224695440.8693693,5.0,5525.547367295906,10.0,31.434326307561708,14.157845460279026
10964601,2018-10-27T05:17:26.630000Z,1224652664.63,1224652906.27044,5.3,4979.535552114749,10.0,158.46380765118292,40.627384529586053
10964420,2018-10-26T17:02:12.280000Z,1224608550.28,1224608851.0849125,5.0,5569.162690275632,15.62,151.82148141182108,33.560544807492484
10964382,2018-10-26T12:41:13.930000Z,1224592891.93,1224593395.73067,5.1,9554.056987811218,10.0,314.77732359223216,24.280139187048846
10964372,2018-10-26T12:03:22.910000Z,1224590620.91,1224591109.425659,5.0,16601.248019808372,137.31,58.3721236359111,24.137715892161662
10964345,2018-10-26T09:48:11.840000Z,1224582509.84,1224582996.5984879,5.0,11751.110744190839,10.0,55.92851994295668,24.770923740572343
10964339,2018-10-26T09:05:39.700000Z,1224579957.7,1224580274.1021564,5.7,2353.649305513493,10.0,150.9635573169391,28.438874283209689
10964297,2018-10-26T05:48:37.160000Z,1224568135.16,1224568638.9767141,5.1,9555.22264898258,10.0,314.7602418478219,24.279681534038914
10966837,2018-10-26T03:06:18.410000Z,1224558396.41,,5.1,1131.7519490437444,10.0,35.56758013255753,
10964262,2018-10-26T03:04:53.700000Z,1224558311.7,,5.6,1130.6753762592668,10.0,34.738042790390814,
10964246,2018-10-26T01:06:04.530000Z,1224551182.53,1224551687.5134876,5.0,9544.116930328446,10.0,314.55579963699813,24.245806828090135
10964196,2018-10-26T00:32:54.260000Z,1224549192.26,1224549695.1909938,5.0,9552.014960680413,10.0,315.0391248447634,24.304465579904981
