# frequency[Hz], mag, phase[deg]
3.02970e+00 1.48459e-03 -1.74990e+02 
3.03970e+00 1.47242e-03 -1.74977e+02 
3.04970e+00 1.46038e-03 -1.74963e+02 
3.05969e+00 1.44846e-03 -1.74950e+02 
3.06969e+00 1.43666e-03 -1.74936e+02 
3.07969e+00 1.42498e-03 -1.74922e+02 
3.08969e+00 1.41342e-03 -1.74908e+02 
3.09969e+00 1.40197e-03 -1.74894e+02 
3.10969e+00 1.39063e-03 -1.74879e+02 
3.11969e+00 1.37940e-03 -1.74865e+02 
3.12969e+00 1.36829e-03 -1.74850e+02 
3.13969e+00 1.35728e-03 -1.74836e+02 
3.14969e+00 1.34638e-03 -1.74821e+02 
3.15968e+00 1.33559e-03 -1.74806e+02 
3.16968e+00 1.32490e-03 -1.74791e+02 
3.17968e+00 1.31432e-03 -1.74776e+02 
3.18968e+00 1.30383e-03 -1.74761e+02 
3.19968e+00 1.29345e-03 -1.74745e+02 
3.20968e+00 1.28317e-03 -1.74730e+02 
3.21968e+00 1.27298e-03 -1.74714e+02 
3.22968e+00 1.26289e-03 -1.74698e+02 
3.23968e+00 1.25290e-03 -1.74683e+02 
3.24968e+00 1.24300e-03 -1.74667e+02 
3.25967e+00 1.23320e-03 -1.74651e+02 
3.26967e+00 1.22349e-03 -1.74634e+02 
3.27967e+00 1.21387e-03 -1.74618e+02 
3.28967e+00 1.20433e-03 -1.74602e+02 
3.29967e+00 1.19489e-03 -1.74585e+02 
3.30967e+00 1.18553e-03 -1.74568e+02 
3.31967e+00 1.17626e-03 -1.74551e+02 
3.32967e+00 1.16708e-03 -1.74534e+02 
3.33967e+00 1.15798e-03 -1.74517e+02 
3.34967e+00 1.14896e-03 -1.74500e+02 
3.35967e+00 1.14003e-03 -1.74483e+02 
3.36966e+00 1.13118e-03 -1.74465e+02 
3.37966e+00 1.12240e-03 -1.74448e+02 
3.38966e+00 1.11371e-03 -1.74430e+02 
3.39966e+00 1.10510e-03 -1.74412e+02 
3.40966e+00 1.09656e-03 -1.74394e+02 
3.41966e+00 1.08810e-03 -1.74376e+02 
3.42966e+00 1.07971e-03 -1.74358e+02 
3.43966e+00 1.07140e-03 -1.74340e+02 
3.44966e+00 1.06316e-03 -1.74321e+02 
3.45965e+00 1.05500e-03 -1.74303e+02 
3.46965e+00 1.04691e-03 -1.74284e+02 
3.47965e+00 1.03889e-03 -1.74265e+02 
3.48965e+00 1.03094e-03 -1.74246e+02 
3.49965e+00 1.02306e-03 -1.74227e+02 
3.50965e+00 1.01524e-03 -1.74207e+02 
3.51965e+00 1.00750e-03 -1.74188e+02 
3.52965e+00 9.99822e-04 -1.74169e+02 
3.53965e+00 9.92211e-04 -1.74149e+02 
3.54965e+00 9.84666e-04 -1.74129e+02 
3.55964e+00 9.77186e-04 -1.74109e+02 
3.56964e+00 9.69769e-04 -1.74089e+02 
3.57964e+00 9.62416e-04 -1.74069e+02 
3.58964e+00 9.55126e-04 -1.74048e+02 
3.59964e+00 9.47897e-04 -1.74028e+02 
3.60964e+00 9.40730e-04 -1.74007e+02 
3.61964e+00 9.33624e-04 -1.73986e+02 
3.62964e+00 9.26577e-04 -1.73965e+02 
3.63964e+00 9.19589e-04 -1.73944e+02 
3.64964e+00 9.12660e-04 -1.73923e+02 
3.65963e+00 9.05789e-04 -1.73902e+02 
3.66963e+00 8.98975e-04 -1.73880e+02 
3.67963e+00 8.92217e-04 -1.73858e+02 
3.68963e+00 8.85516e-04 -1.73837e+02 
