#  -name:X500_BARO
#  -gps:1201478418.0 s
#  -tlen:172860.0 s
#  -fs:0.0166666666667 Hz
8220.000000 979.128107
8280.000000 979.141492
8340.000000 979.131079
8400.000000 979.117489
8460.000000 979.078301
8520.000000 979.028383
8580.000000 978.968377
8640.000000 978.900275
8700.000000 978.870985
8760.000000 978.879400
8820.000000 978.915128
8880.000000 978.958075
8940.000000 978.994337
9000.000000 978.987876
9060.000000 978.944098
9120.000000 978.895894
9180.000000 978.872318
9240.000000 978.876930
9300.000000 978.840755
9360.000000 978.729836
9420.000000 978.604730
9480.000000 978.506754
9540.000000 978.497914
9600.000000 978.612256
9660.000000 978.687952
9720.000000 978.654782
9780.000000 978.573527
9840.000000 978.573022
9900.000000 978.580790
9960.000000 978.573177
10020.000000 978.537199
10080.000000 978.518477
10140.000000 978.504718
10200.000000 978.459242
10260.000000 978.386586
10320.000000 978.327303
10380.000000 978.299219
10440.000000 978.301754
10500.000000 978.309421
10560.000000 978.310055
10620.000000 978.293540
10680.000000 978.248337
10740.000000 978.199908
10800.000000 978.166696
10860.000000 978.129836
10920.000000 978.073052
10980.000000 978.006479
11040.000000 977.971620
11100.000000 977.939638
11160.000000 977.931089
11220.000000 977.919913
11280.000000 977.906932
11340.000000 977.905067
11400.000000 977.923533
11460.000000 977.938876
11520.000000 977.896113
11580.000000 977.896385
11640.000000 977.908820
11700.000000 977.930294
11760.000000 977.919924
11820.000000 977.917044
11880.000000 977.934876
11940.000000 977.971237
12000.000000 978.011943
12060.000000 978.070845
12120.000000 978.107016
12180.000000 978.088383
12240.000000 978.022375
12300.000000 977.929637
12360.000000 977.850329
12420.000000 977.786138
12480.000000 977.726826
12540.000000 977.676276
12600.000000 977.653517
12660.000000 977.669037
12720.000000 977.706044
12780.000000 977.717653
12840.000000 977.709635
12900.000000 977.719650
12960.000000 977.745210
13020.000000 977.736529
13080.000000 977.700863
13140.000000 977.667403
13200.000000 977.700872
13260.000000 977.757793
13320.000000 977.831990
13380.000000 977.915681
13440.000000 977.958321
13500.000000 977.963716
13560.000000 977.928343
13620.000000 977.861588
13680.000000 977.811044
13740.000000 977.768045
13800.000000 977.771147
13860.000000 977.817613
13920.000000 977.851659
13980.000000 977.828145
14040.000000 977.784703
14100.000000 977.739152
14160.000000 977.756823
14220.000000 977.802976
14280.000000 977.804760
14340.000000 977.792628
14400.000000 977.777403
14460.000000 977.762768
14520.000000 977.759086
14580.000000 977.762592
14640.000000 977.774305
14700.000000 977.791419
14760.000000 977.814724
14820.000000 977.811408
14880.000000 977.795334
14940.000000 977.768132
15000.000000 977.713826
15060.000000 977.654631
15120.000000 977.649623
15180.000000 977.691581
15240.000000 977.750149
15300.000000 977.793234
15360.000000 977.842876
15420.000000 977.878205
15480.000000 977.845140
15540.000000 977.833125
15600.000000 977.827242
15660.000000 977.822610
15720.000000 977.811257
15780.000000 977.810275
15840.000000 977.791427
15900.000000 977.781933
15960.000000 977.766277
16020.000000 977.749279
16080.000000 977.744370
16140.000000 977.734602
16200.000000 977.723122
16260.000000 977.714624
16320.000000 977.690279
16380.000000 977.668767
16440.000000 977.641570
16500.000000 977.631701
16560.000000 977.623283
16620.000000 977.595540
16680.000000 977.552818
16740.000000 977.523224
16800.000000 977.505989
16860.000000 977.505710
16920.000000 977.528457
16980.000000 977.542954
17040.000000 977.561862
17100.000000 977.548901
17160.000000 977.536325
17220.000000 977.516444
17280.000000 977.471244
17340.000000 977.433592
17400.000000 977.420581
17460.000000 977.434286
17520.000000 977.471159
17580.000000 977.505041
17640.000000 977.526421
17700.000000 977.523544
17760.000000 977.500871
17820.000000 977.470413
17880.000000 977.461064
17940.000000 977.444484
18000.000000 977.408074
18060.000000 977.377346
18120.000000 977.407354
18180.000000 977.467070
18240.000000 977.506319
18300.000000 977.518623
18360.000000 977.501856
18420.000000 977.475974
18480.000000 977.426931
18540.000000 977.398687
18600.000000 977.439090
18660.000000 977.515618
18720.000000 977.588067
18780.000000 977.645764
18840.000000 977.663336
18900.000000 977.634550
18960.000000 977.575833
19020.000000 977.538628
19080.000000 977.536519
19140.000000 977.493335
19200.000000 977.447529
19260.000000 977.425586
19320.000000 977.416800
19380.000000 977.417379
19440.000000 977.404114
19500.000000 977.364464
19560.000000 977.332871
19620.000000 977.344612
19680.000000 977.391570
19740.000000 977.448958
19800.000000 977.497639
19860.000000 977.538046
19920.000000 977.562661
19980.000000 977.563530
20040.000000 977.575372
20100.000000 977.549213
20160.000000 977.481757
20220.000000 977.416075
20280.000000 977.371352
20340.000000 977.368409
20400.000000 977.388581
20460.000000 977.416918
20520.000000 977.433760
20580.000000 977.413322
20640.000000 977.392402
20700.000000 977.384168
