#Frequency[Hz] NS_woA  WE_woA  Z_woA NS_wA WE_wA Z_wA            
0.6640625 1.51254E-08 1.08564E-08 1.86633E-08 1.7688E-08  1.11386E-08 1.47728E-08
0.671875  1.31915E-08 1.03211E-08 2.36274E-08 2.22875E-08 1.24819E-08 9.6371E-09
0.6796875 1.52715E-08 2.20403E-08 2.30913E-08 2.05716E-08 1.52337E-08 1.16612E-08
0.6875  1.28748E-08 2.27801E-08 2.07758E-08 1.04076E-08 1.60573E-08 1.2195E-08
0.6953125 1.58498E-08 2.14815E-08 1.56649E-08 1.27558E-08 1.22121E-08 1.17852E-08
0.703125  1.89241E-08 1.87198E-08 1.65144E-08 1.40919E-08 1.25512E-08 1.31628E-08
0.7109375 1.2604E-08  1.5052E-08  1.57935E-08 1.05068E-08 1.37601E-08 5.38955E-09
0.71875 1.71739E-08 1.24663E-08 1.1601E-08  8.23634E-09 1.44303E-08 8.95008E-09
0.7265625 1.57631E-08 1.37547E-08 1.0006E-08  1.00532E-08 1.25657E-08 1.23137E-08
0.734375  1.19421E-08 1.10209E-08 7.70486E-09 8.32355E-09 8.73515E-09 1.35277E-08
0.7421875 1.06448E-08 1.00992E-08 1.79586E-08 9.47416E-09 5.67194E-09 1.50426E-08
0.75  1.14586E-08 1.43487E-08 1.39438E-08 1.11997E-08 7.90835E-09 1.30059E-08
0.7578125 1.09665E-08 1.1909E-08  1.3596E-08  9.81377E-09 7.98378E-09 1.10235E-08
0.765625  1.15207E-08 9.09317E-09 1.17484E-08 1.04678E-08 7.39216E-09 1.11196E-08
0.7734375 6.69821E-09 4.75665E-09 1.12596E-08 7.52018E-09 8.13284E-09 1.30934E-08
0.78125 9.27168E-09 6.99472E-09 1.50513E-08 7.63824E-09 8.24107E-09 9.17603E-09
0.7890625 1.01796E-08 7.52613E-09 1.09394E-08 7.7194E-09  7.60587E-09 9.49519E-09
0.796875  1.34109E-08 8.16488E-09 7.36234E-09 6.84505E-09 6.57899E-09 1.60001E-08
0.8046875 1.22318E-08 8.37051E-09 7.43718E-09 9.58873E-09 3.82554E-09 1.4044E-08
0.8125  4.31964E-09 8.08693E-09 1.14049E-08 7.00652E-09 5.49482E-09 9.43372E-09
0.8203125 7.09882E-09 6.00624E-09 8.76535E-09 6.39224E-09 5.50024E-09 9.20615E-09
0.828125  6.80627E-09 5.4994E-09  1.04249E-08 6.36866E-09 5.24204E-09 1.14907E-08
0.8359375 4.88726E-09 6.75437E-09 1.30189E-08 5.96725E-09 5.27366E-09 8.73447E-09
0.84375 3.70384E-09 8.94317E-09 1.25027E-08 6.75224E-09 3.50264E-09 8.01382E-09
0.8515625 5.494E-09 8.8159E-09  6.72844E-09 3.81594E-09 4.03726E-09 7.62923E-09
0.859375  5.02763E-09 6.67253E-09 1.00912E-08 2.95966E-09 4.90741E-09 1.36003E-08
0.8671875 2.1783E-09  7.05541E-09 4.37052E-09 2.74113E-09 5.19653E-09 1.10466E-08
0.875 4.54572E-09 6.89419E-09 7.49015E-09 3.88685E-09 4.36701E-09 4.91497E-09
0.8828125 7.9975E-09  5.85979E-09 7.58711E-09 4.43493E-09 3.94911E-09 8.54128E-09
0.890625  5.85851E-09 3.08741E-09 7.84649E-09 3.28636E-09 4.49366E-09 4.9902E-09
0.8984375 3.4802E-09  3.67118E-09 6.47215E-09 2.98902E-09 3.79571E-09 6.89065E-09
0.90625 3.8853E-09  5.39757E-09 5.42605E-09 3.43874E-09 4.12899E-09 6.89908E-09
0.9140625 3.49335E-09 3.24871E-09 3.71064E-09 2.03345E-09 5.15952E-09 5.95309E-09
0.921875  2.65341E-09 3.27562E-09 9.22892E-09 4.12607E-09 4.60977E-09 4.42712E-09
0.9296875 2.56045E-09 3.61173E-09 1.26478E-08 3.89358E-09 2.21481E-09 4.91484E-09
0.9375  3.91954E-09 4.12661E-09 7.61665E-09 3.61367E-09 2.07609E-09 7.96469E-09
0.9453125 3.16493E-09 2.47682E-09 7.036E-09 3.81062E-09 3.29233E-09 7.9992E-09
0.953125  3.74411E-09 3.91435E-09 7.91139E-09 3.80044E-09 3.95887E-09 5.90072E-09
0.9609375 3.24706E-09 4.84606E-09 7.32406E-09 2.78307E-09 3.81696E-09 7.08929E-09
