# frequency[Hz], mag, phase[deg]
4.93951e+00 3.76761e-04 -1.69410e+02 
4.94951e+00 3.73783e-04 -1.69352e+02 
4.95950e+00 3.70824e-04 -1.69294e+02 
4.96950e+00 3.67883e-04 -1.69235e+02 
4.97950e+00 3.64961e-04 -1.69175e+02 
4.98950e+00 3.62056e-04 -1.69115e+02 
4.99950e+00 3.59170e-04 -1.69055e+02 
5.00950e+00 3.56302e-04 -1.68993e+02 
5.01950e+00 3.53451e-04 -1.68932e+02 
5.02950e+00 3.50618e-04 -1.68869e+02 
5.03950e+00 3.47802e-04 -1.68806e+02 
5.04950e+00 3.45004e-04 -1.68743e+02 
5.05949e+00 3.42223e-04 -1.68678e+02 
5.06949e+00 3.39459e-04 -1.68613e+02 
5.07949e+00 3.36712e-04 -1.68548e+02 
5.08949e+00 3.33982e-04 -1.68482e+02 
5.09949e+00 3.31269e-04 -1.68415e+02 
5.10949e+00 3.28572e-04 -1.68347e+02 
5.11949e+00 3.25892e-04 -1.68279e+02 
5.12949e+00 3.23228e-04 -1.68210e+02 
5.13949e+00 3.20580e-04 -1.68140e+02 
5.14949e+00 3.17948e-04 -1.68070e+02 
5.15948e+00 3.15332e-04 -1.67999e+02 
5.16948e+00 3.12732e-04 -1.67927e+02 
5.17948e+00 3.10148e-04 -1.67855e+02 
5.18948e+00 3.07579e-04 -1.67781e+02 
5.19948e+00 3.05026e-04 -1.67707e+02 
5.20948e+00 3.02488e-04 -1.67632e+02 
5.21948e+00 2.99965e-04 -1.67557e+02 
5.22948e+00 2.97458e-04 -1.67480e+02 
5.23948e+00 2.94966e-04 -1.67403e+02 
5.24948e+00 2.92488e-04 -1.67325e+02 
5.25948e+00 2.90025e-04 -1.67246e+02 
5.26947e+00 2.87578e-04 -1.67166e+02 
5.27947e+00 2.85144e-04 -1.67085e+02 
5.28947e+00 2.82725e-04 -1.67004e+02 
5.29947e+00 2.80321e-04 -1.66921e+02 
5.30947e+00 2.77931e-04 -1.66838e+02 
